DISTRITO FEDERAL,DISTRITO LOCAL,REGIÓN,MUNICIPIO,,POLÍGONO,SECCIÓN,LNOM,META,COMPROMISOS,AVANCE,DETECTADOS,OTROS,PORCENTAJE,EFECTIVIDAD
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2242902,824,412,393,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2243902,788,394,319,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2244902,602,301,252,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2245902,688,344,222,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2246902,482,241,238,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2247902,458,229,249,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2248902,716,358,245,1,0,1,0,-100
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2249902,530,265,231,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2250902,346,173,205,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2251902,630,315,220,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_13_03,438_56_2252902,594,297,172,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2253902,890,445,100,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2254902,546,273,140,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2255902,330,165,33,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2256902,202,101,8,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2257902,562,281,110,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2258902,544,272,83,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2259902,460,230,87,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2260902,586,293,153,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2261902,528,264,41,0,0,0,0,0
10,17,R3,SALAMANCA,,30_3227_14_03,438_56_2262902,546,273,84,0,0,0,0,0
14,18,R6,CELAYA,,30_327_12_03,438_56_367902,272,136,68,68,22.66666667,2,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_368902,378,189,94.5,94.5,31.5,1,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_369902,592,296,148,148,49.33333333,6,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_377902,502,251,125.5,125.5,41.83333333,1,0,-100
14,18,R6,CELAYA,,30_327_12_03,438_56_378902,450,225,112.5,112.5,37.5,0,0,0
